,region,depot,item_no,tms,ams,month,year,Sale_1Monthsback,Sale_2Monthsback,Sale_3Monthsback
0,LG,AGEGE,10040447,119.36048275862069,59.680241379310345,6.0,2021.0,,,
1,LG,AGEGE,10040447,144.79135483870968,72.39567741935484,7.0,2021.0,59.680241379310345,,
2,LG,AGEGE,10040447,211.0334193548387,105.51670967741936,8.0,2021.0,72.39567741935484,59.680241379310345,
3,LG,AGEGE,10040447,198.30186666666668,99.15093333333334,9.0,2021.0,105.51670967741936,72.39567741935484,59.680241379310345
4,LG,AGEGE,10040447,142.82548387096773,71.41274193548387,10.0,2021.0,99.15093333333334,105.51670967741936,72.39567741935484
5,LG,AGEGE,10040447,194.15046666666666,97.07523333333333,11.0,2021.0,71.41274193548387,99.15093333333334,105.51670967741936
6,LG,AGEGE,10040447,142.95696774193547,71.47848387096774,12.0,2021.0,97.07523333333333,71.41274193548387,99.15093333333334
7,LG,AGEGE,10040447,142.29103225806452,71.14551612903226,1.0,2022.0,71.47848387096774,97.07523333333333,71.41274193548387
8,LG,AGEGE,10040447,162.39435714285716,81.19717857142858,2.0,2022.0,71.14551612903226,71.47848387096774,97.07523333333333
9,LG,AGEGE,10040447,69.52941935483871,34.764709677419354,3.0,2022.0,81.19717857142858,71.14551612903226,71.47848387096774
10,LG,AGEGE,10040447,108.93733333333333,54.468666666666664,4.0,2022.0,34.764709677419354,81.19717857142858,71.14551612903226
11,LG,AGEGE,10040447,104.626,52.313,5.0,2022.0,54.468666666666664,34.764709677419354,81.19717857142858
12,LG,AGEGE,10047371,0.0,0.0,7.0,2021.0,,,
13,LG,AGEGE,10047371,0.0,0.0,8.0,2021.0,0.0,,
14,LG,AGEGE,10047371,0.0,0.0,9.0,2021.0,0.0,0.0,
15,LG,AGEGE,10047371,0.0,0.0,10.0,2021.0,0.0,0.0,0.0
16,LG,AGEGE,10047371,0.0,0.0,11.0,2021.0,0.0,0.0,0.0
17,LG,AGEGE,10047371,0.0,0.0,12.0,2021.0,0.0,0.0,0.0
18,LG,AGEGE,10047371,0.0,0.0,1.0,2022.0,0.0,0.0,0.0
19,LG,AGEGE,10047371,0.0,0.0,2.0,2022.0,0.0,0.0,0.0
20,LG,AGEGE,10047371,0.0,0.0,3.0,2022.0,0.0,0.0,0.0
21,LG,AGEGE,10047371,0.0,0.0,4.0,2022.0,0.0,0.0,0.0
22,LG,AGEGE,10047371,0.0,0.0,5.0,2022.0,0.0,0.0,0.0
23,LG,AGEGE,10056877,105.90593103448276,52.95296551724138,6.0,2021.0,,,
24,LG,AGEGE,10056877,95.77058064516129,47.885290322580644,7.0,2021.0,52.95296551724138,,
25,LG,AGEGE,10056877,70.66870967741936,35.33435483870968,8.0,2021.0,47.885290322580644,52.95296551724138,
26,LG,AGEGE,10056877,65.41953333333333,32.70976666666667,9.0,2021.0,35.33435483870968,47.885290322580644,52.95296551724138
27,LG,AGEGE,10056877,68.3523870967742,34.1761935483871,10.0,2021.0,32.70976666666667,35.33435483870968,47.885290322580644
28,LG,AGEGE,10056877,80.5614,40.2807,11.0,2021.0,34.1761935483871,32.70976666666667,35.33435483870968
29,LG,AGEGE,10056877,38.13503225806451,19.067516129032256,12.0,2021.0,40.2807,34.1761935483871,32.70976666666667
30,LG,AGEGE,10056877,57.062709677419356,28.531354838709678,1.0,2022.0,19.067516129032256,40.2807,34.1761935483871
31,LG,AGEGE,10056877,58.754,29.377,2.0,2022.0,28.531354838709678,19.067516129032256,40.2807
32,LG,AGEGE,10056877,20.862129032258064,10.431064516129032,3.0,2022.0,29.377,28.531354838709678,19.067516129032256
33,LG,AGEGE,10056877,14.1354,7.0677,4.0,2022.0,10.431064516129032,29.377,28.531354838709678
34,LG,AGEGE,10056877,2.278,1.139,5.0,2022.0,7.0677,10.431064516129032,29.377
35,LG,AGEGE,10063228,14.481428571428571,7.240714285714286,6.0,2021.0,,,
36,LG,AGEGE,10063228,1.6418064516129032,0.8209032258064516,7.0,2021.0,7.240714285714286,,
37,LG,AGEGE,10063228,0.013419354838709678,0.006709677419354839,8.0,2021.0,0.8209032258064516,7.240714285714286,
38,LG,AGEGE,10063228,0.0,0.0,9.0,2021.0,0.006709677419354839,0.8209032258064516,7.240714285714286
39,LG,AGEGE,10063228,0.0,0.0,10.0,2021.0,0.0,0.006709677419354839,0.8209032258064516
40,LG,AGEGE,10063228,0.0,0.0,11.0,2021.0,0.0,0.0,0.006709677419354839
41,LG,AGEGE,10063228,0.0,0.0,12.0,2021.0,0.0,0.0,0.0
42,LG,AGEGE,10063228,0.0,0.0,1.0,2022.0,0.0,0.0,0.0
43,LG,AGEGE,10063228,0.0,0.0,2.0,2022.0,0.0,0.0,0.0
44,LG,AGEGE,10063228,0.0,0.0,3.0,2022.0,0.0,0.0,0.0
45,LG,AGEGE,10063228,0.0,0.0,4.0,2022.0,0.0,0.0,0.0
46,LG,AGEGE,10063228,0.0,0.0,5.0,2022.0,0.0,0.0,0.0
47,LG,AGEGE,10063348,0.0,0.0,7.0,2021.0,,,
48,LG,AGEGE,10063348,0.0,0.0,8.0,2021.0,0.0,,
49,LG,AGEGE,10063348,0.0,0.0,9.0,2021.0,0.0,0.0,
50,LG,AGEGE,10063348,0.0,0.0,10.0,2021.0,0.0,0.0,0.0
51,LG,AGEGE,10063348,0.0,0.0,11.0,2021.0,0.0,0.0,0.0
52,LG,AGEGE,10063348,0.0,0.0,12.0,2021.0,0.0,0.0,0.0
53,LG,AGEGE,10063348,0.0,0.0,1.0,2022.0,0.0,0.0,0.0
54,LG,AGEGE,10063348,0.0,0.0,2.0,2022.0,0.0,0.0,0.0
55,LG,AGEGE,10063348,0.0,0.0,3.0,2022.0,0.0,0.0,0.0
56,LG,AGEGE,10063348,0.0,0.0,4.0,2022.0,0.0,0.0,0.0
57,LG,AGEGE,10063348,0.0,0.0,5.0,2022.0,0.0,0.0,0.0
58,LG,AGEGE,10080907,243.01151724137932,121.50575862068966,6.0,2021.0,,,
59,LG,AGEGE,10080907,336.53651612903224,168.26825806451612,7.0,2021.0,121.50575862068966,,
60,LG,AGEGE,10080907,461.26032258064515,230.63016129032258,8.0,2021.0,168.26825806451612,121.50575862068966,
61,LG,AGEGE,10080907,431.72866666666664,215.86433333333332,9.0,2021.0,230.63016129032258,168.26825806451612,121.50575862068966
62,LG,AGEGE,10080907,362.6155483870968,181.3077741935484,10.0,2021.0,215.86433333333332,230.63016129032258,168.26825806451612
63,LG,AGEGE,10080907,330.24533333333335,165.12266666666667,11.0,2021.0,181.3077741935484,215.86433333333332,230.63016129032258
64,LG,AGEGE,10080907,298.87425806451614,149.43712903225807,12.0,2021.0,165.12266666666667,181.3077741935484,215.86433333333332
65,LG,AGEGE,10080907,375.349935483871,187.6749677419355,1.0,2022.0,149.43712903225807,165.12266666666667,181.3077741935484
66,LG,AGEGE,10080907,290.8302142857143,145.41510714285715,2.0,2022.0,187.6749677419355,149.43712903225807,165.12266666666667
